index,Finnish,frequency,English
26270,pulssin,318,pulse
26271,stereot,318,stereo
26272,sellaisina,318,as such
26273,joillain,318,some
26274,petän,318,petty
26275,poimu,318,fold
26276,vartioitu,318,guarded
26277,osoittakaa,318,show
26278,vaippa,318,sheath
26279,verkosta,318,on the net
26280,ovimies,318,usher
26281,omaatuntoa,318,conscience
26282,suosiota,318,favor
26283,harborin,318,Harbor
26284,nicki,318,nicki
26285,loistoidea,318,splendid
26286,houkuttele,318,attract
26287,alä,318,area
26288,köyhän,317,poor
26289,josephine,317,Josephine
26290,ympyrän,317,circle
26291,limonadia,317,lemonade
26292,kuninkaiden,317,kings
26293,näytöstä,317,on the screen
26294,parhaanne,317,your best
26295,terveyden,317,health
26296,kuolettava,317,deadly
26297,vedimme,317,we pulled
26298,naapurista,317,neighboring
26299,meikäläinen,317,our
26300,asuni,317,I live
26301,terapeuttini,317,my therapist
26302,jaoin,317,joil
26303,ammuimme,317,We shot
26304,virkamerkkisi,317,in your office
26305,tavoita,317,reach
26306,numeronne,317,your number
26307,liivi,317,vest
26308,internetiä,317,internet
26309,huijaan,317,cheat
26310,poikaparka,317,boyfriend
26311,vakavissaan,317,seriously
26312,järjettömän,317,irrational
26313,välitit,317,careers
26314,vinny,317,vinny
26315,mitenköhän,317,however
26316,siepannut,317,captured
26317,kaulansa,317,neck
26318,häirinnästä,317,harassment
26319,piipun,317,barrel
26320,paimen,317,shepherd
26321,kirjautui,317,logged
26322,stressistä,317,stress
26323,siivoat,317,clean up
26324,erityisemmin,317,more specifically
26325,kiireessä,317,in haste
26326,vetäytyi,317,withdrew
26327,alfie,317,alfie
26328,mickeyn,317,Mickey
26329,alligaattori,317,alligator
26330,valehtelitko,317,Did you lie
26331,seamus,317,Seamus
26332,brittejä,317,British
26333,ikkunoiden,317,windows
26334,siskostasi,317,your sister
26335,draken,317,daring
26336,portaali,317,portals
26337,lääkärisi,317,your doctor
26338,tuhoutua,317,perish
26339,lso,317,lso
26340,psykologian,317,psychology
26341,greene,317,greene
26342,odottaisin,317,I would expect
26343,sisässä,317,inside
26344,siviilien,317,civilians
26345,peleistä,317,from games
26346,kuivunut,317,dry
26347,ruumiinosia,317,body parts
26348,hussein,317,hussein
26349,modernia,317,modern
26350,kerrat,317,collection
26351,enkeliä,317,angel
26352,general,316,general
26353,ser,316,service
26354,mantereen,316,continent
26355,tikarin,316,dagger
26356,elokuvasi,316,your movie
26357,kojootti,316,coyote
26358,kollegasi,316,colleague
26359,kondomi,316,condom
26360,aikoinani,316,in my time
26361,filosofi,316,philosopher
26362,loppupäivän,316,the rest of the day
26363,polo,316,polo
26364,palautettava,316,returnable
26365,aamuyöllä,316,in the early hours
26366,niklas,316,niklas
26367,vaihdettava,316,replaceable
26368,osasivat,316,parted
26369,suurena,316,high
26370,kiitää,316,whiz
26371,tovi,316,while
26372,käsivartesi,316,your arm
26373,sekoitin,316,mixer
26374,allekirjoitat,316,sign
26375,galen,316,gale
26376,alueille,316,to the regions
26377,menettäneeni,316,I lost my
26378,näkemästä,316,see
26379,esiintyminen,316,performance
26380,kaivavat,316,dig
26381,xavier,316,Xavier
26382,sutta,316,sustain
26383,löitkö,316,Did you hit
26384,vastuulla,316,responsibility
26385,asenteella,316,on the attitude
26386,siirtyivät,316,moved
26387,abbey,316,abbey
26388,ruuhkaan,316,congestion
26389,lihavan,316,obese
26390,maatilalle,316,to the farm
26391,teeskentelijä,316,poser
26392,ruokamme,316,our food
26393,bing,316,bing
26394,räjähdä,316,explode
26395,speer,316,SPEER
26396,sektorilla,316,in the sector
26397,nasan,316,nasan
26398,edeltävänä,316,preceding
26399,revoir,316,Revoir
26400,lapsillemme,316,For our children
26401,vetosi,316,appeal
26402,kuumaksi,316,hot
26403,törkyä,316,rack
26404,loistavalta,316,glorious
26405,rankaista,316,punish
26406,suojaksi,316,to protect
26407,loukattu,316,injured
26408,täysissä,316,in full
26409,kapteeniksi,316,captain
26410,amuletti,316,amulet
26411,tuhlaan,316,waste
26412,bloody,316,Bloody
26413,jäinkään,316,ice
26414,xiii,316,XIII
26415,koodattu,316,encoded
26416,paljastamme,316,We'll reveal
26417,ihmettelevät,316,wonder
26418,luette,316,read
26419,passini,316,my passport
26420,tietokoneeni,316,my computer
26421,veneeni,316,boat
26422,liiketoimia,316,transactions
26423,peilissä,316,in the mirror
26424,afrikkalainen,316,African
26425,oxfordissa,316,In Oxford
26426,orange,316,orange
26427,uteliaisuudesta,316,out of curiosity
26428,ohjaavat,316,guide
26429,palapelin,316,puzzle
26430,toivottamaan,315,wish
26431,voidakseni,315,in order to
26432,kieltäminen,315,denial
26433,skyler,315,Skyler
26434,kyselemässä,315,in question
26435,anteeksipyyntöni,315,my apologies
26436,polttaminen,315,combustion
26437,game,315,game
26438,hermostumaan,315,nervous
26439,pahoinvointia,315,nausea
26440,vaarantanut,315,jeopardized
26441,lapsistani,315,from my children
26442,jääkiekkoa,315,hockey
26443,onnistuitte,315,You succeeded
26444,kotiani,315,home
26445,uima-altaan,315,swimming pool
26446,vaunuun,315,wagon
26447,haisen,315,smell
26448,saavu,315,arrive
26449,klinikan,315,clinic
26450,kipeänä,315,sick
26451,tontti,315,plot
26452,pieksen,315,pint
26453,erinomaisen,315,excellent
26454,samanthan,315,same
26455,puheenollen,315,in a voice
26456,leikkiin,315,play
26457,hiukkaset,315,particles
26458,pirteä,315,perky
26459,kellosta,315,clock
26460,vuotiaana,315,at the age of
26461,um,315,um
26462,pamin,315,pamin
26463,mielessänne,315,in your mind
26464,35-vuotias,315,35-year-old
26465,aloitus,315,start
26466,sijalla,315,rank
26467,ufo,315,UFO
26468,alustava,315,preliminary
26469,lopetatte,315,quit
26470,radikaali,315,radical
26471,valasta,315,whack
26472,pezz,315,Pezz
26473,omatuntoni,315,myself
26474,hallussani,315,in my possession
26475,tukholmassa,315,In Stockholm
26476,takamus,315,seat
26477,neuvojasi,315,your advice
26478,ojentaisitko,315,do you point out
26479,teiiie,315,teaiie
26480,rakastumassa,315,in love
26481,muurahaisia,315,ants
26482,kaksosten,315,twins
26483,innostumaan,315,excite
26484,viipyvät,315,linger
26485,tappoa,315,kill
26486,tuotava,315,importable
26487,feng,314,fieng
26488,haastattelusta,314,interview
26489,erikoisalaani,314,specialty
26490,vanhemmaksi,314,older
26491,lainannut,314,borrowed
26492,netin,314,net
26493,janne,314,tendon
26494,käyttäytymistä,314,behavior
26495,konsuli,314,consul
26496,meadow,314,Meadow
26497,kuseen,314,tough
26498,taskussaan,314,in his pocket
26499,vian,314,bug
26500,kiinnostuksen,314,interest
26501,silmämme,314,our eyes
26502,taloonsa,314,to his house
26503,dark,314,Dark
26504,taloissa,314,in the houses
26505,salazar,314,Salazar
26506,päästetty,314,obtained
26507,painovoimaa,314,gravity
26508,vähä,314,wax
26509,astia,314,dish
26510,goldman,314,Goldman
26511,wild,314,Wild
26512,pakit,314,chosen
26513,pinnalta,314,on the surface
26514,muta,314,mud
26515,heikompi,314,weaker
26516,yrttejä,314,herbs
26517,kuudeksi,314,six
26518,strategiaa,314,strategy
26519,määrittelee,314,define
26520,perheellinen,314,family
26521,kirjata,314,record
26522,marko,314,Marko
26523,tiivis,314,close
26524,typeräksi,314,silly
26525,vihaatte,314,hate
26526,poistuvat,314,exeunt
26527,muodista,314,fashion
26528,houdini,314,houdin
26529,kuljetusta,314,transport
26530,sadon,314,crop
26531,sayid,314,Sayid
26532,tuotan,314,produce
26533,vajota,314,sink
26534,siiven,314,wing
26535,pöksyt,314,panties
26536,etsiessään,314,in pursuit of
26537,ohjelmoida,314,program
26538,aloititte,314,you started
26539,paremmasta,314,better
26540,nuoruus,314,youth
26541,lukevan,313,reading
26542,lasilliset,313,glasses
26543,yksityisen,313,private
26544,jalkojaan,313,to their legs
26545,pääsekään,313,to go
26546,viitata,313,signal
26547,vanhoissa,313,in the old
26548,kuolleelle,313,to the dead
26549,hirtti,313,log
26550,japanilaista,313,Japanese
26551,alkaessa,313,at the beginning of
26552,kosken,313,kosken
26553,pörssissä,313,on the stock exchange
26554,volttia,313,volts
26555,taisto,313,fire
26556,esityksesi,313,your presentation
26557,reunan,313,edge
26558,pystyvänsä,313,capable of
26559,taloista,313,from houses
26560,tonylle,313,for tony
26561,vihansa,313,sink
26562,äijää,313,stunning
26563,puolellesi,313,on your side
26564,kuolemalta,313,from death
26565,rauhallisia,313,peaceful
26566,mielihyvää,313,pleasure
26567,hääpäivää,313,wedding day
26568,perustivat,313,founded
26569,vaikeudet,313,trouble
26570,tieltään,313,in one's way
26571,studiolle,313,to the studio
26572,anakin,313,Anakin
26573,kehää,313,perimeter
26574,otteita,313,extract
26575,helpottaisi,313,would facilitate
26576,imen,313,imagery
26577,pihkassa,313,outfit
26578,olettaisin,313,would
26579,muuttoa,313,migration
26580,oikeisiin,313,right
26581,hannan,313,Hannan
26582,luojaa,313,creator
26583,horn,313,horn
26584,oopperaan,313,opera
26585,aurinkoinen,313,sunny
26586,lajimme,313,our species
26587,shillinkiä,313,shill
26588,kuuntelevan,313,listening to
26589,lyömme,313,we hit
26590,yksityisetsivän,313,private detection
26591,autostaan,313,on their car
26592,autotalli,313,garage
26593,conor,313,conor
26594,kirjekuoren,313,envelope
26595,pesästä,313,on the nest
26596,jättävän,313,leave
26597,säästit,313,saved
26598,debbien,313,Debbien
26599,heavy,313,heavy
26600,naamiota,313,mask
26601,tilapäinen,313,temporary
26602,valaa,313,cast
26603,huvittava,313,amusing
26604,häpeäisit,313,shame
26605,sulkeutunut,313,closed
26606,sulanut,313,melted
26607,eläisin,313,i would live
26608,pakottako,313,force
26609,kummallakaan,313,either
26610,mitataan,313,measure
26611,vaaralliseksi,313,dangerous
26612,22-vuotias,313,22 years old
26613,aineiden,312,substances
26614,oksentamaan,312,vomit
26615,lohduta,312,be comfortable
26616,otaksun,312,assumed
26617,irlannissa,312,In Ireland
26618,haltuumme,312,we possess
26619,päättyisi,312,would end
26620,huipulta,312,from the top
26621,hello,312,hello
26622,vuorta,312,mountain
26623,pidittekö,312,do you like
26624,armahtakoon,312,mercy
26625,deep,312,deep
26626,saadaksenne,312,forms
26627,veriryhmä,312,blood type
26628,halvempi,312,cheaper
26629,viisisataa,312,five hundred
26630,sanonpahan,312,saying
26631,löikö,312,smart
26632,rooleja,312,roles
26633,yrittäessäni,312,when i try
26634,hauskana,312,funny
26635,loppuikäni,312,on the rest of my time
26636,lautan,312,ferry
26637,varsinaista,312,actual
26638,nämäkö,312,these
26639,saavutti,312,reached
26640,meitäkin,312,all of us
26641,roberta,312,roberta
26642,kuolaa,312,die
26643,rainer,312,rainer
26644,napattiin,312,tapped
26645,äänestänyt,312,voted
26646,kynnyksellä,312,on the threshold
26647,seurustellut,312,dating
26648,tönäisi,312,would
26649,laivue,312,squadron
26650,katselimme,312,We watched
26651,nostettiin,312,lifted
26652,murehtiko,312,chuck
26653,ostajia,312,buyers
26654,näytelmästä,312,from the plays
26655,tammikuun,312,January
26656,varastolle,312,for a warehouse
26657,pestään,312,washed
26658,menneeseen,312,to the past
26659,tilillä,312,on the account
26660,yhdistettynä,312,combined with
26661,hypi,312,hypic
26662,kuulustelemaan,312,interrogate
26663,listasta,312,from the list
26664,strange,312,strand
26665,innokkaita,312,eager
26666,heikkouksia,312,weaknesses
26667,sivistyksen,311,civilization
26668,loppuunmyyty,311,fully booked up
26669,näytellyt,311,exhibited
26670,tunteistaan,311,on one's feelings
26671,taco,311,taco
26672,kauheat,311,terrible
26673,armosta,311,from the mercy
26674,katkaistiin,311,cut off
26675,hommatkaa,311,home
26676,viikkokausia,311,weeks
26677,perustamme,311,We set up
26678,syyttämään,311,to blame
26679,menetelmä,311,method
26680,tuck,311,tuck
26681,rauhalliselta,311,quietly
26682,hyytelöä,311,jelly
26683,menneisyyteni,311,my past
26684,näppärä,311,deft
26685,löytävänsä,311,find
26686,tekemiä,311,done
26687,puvusta,311,from the costume
26688,valoisa,311,bright
26689,lähetätkö,311,Do you send
26690,hatut,311,millinery
26691,suotte,311,filter
26692,yhdistyy,311,combine
26693,terän,311,blade
26694,ohjelmani,311,My program
26695,flynnin,311,Flynnn
26696,jekyll,311,jekyll
26697,lanen,311,lane
26698,laiteta,311,devices
26699,valvoi,311,supervised
26700,kumoon,311,over
26701,maanpetos,311,ground
26702,selitätte,311,explain
26703,thompsonin,311,thompson
26704,facebook,311,Facebook
26705,jättämässä,311,leaving
26706,ruthie,311,ruthie
26707,kidnappauksesta,311,kidnapping
26708,touhu,311,hustle
26709,kuvaat,311,Figures
26710,eturivissä,311,up front
26711,rokotteen,311,vaccine
26712,edustajia,311,representatives
26713,raporttisi,311,report
26714,tuhoatte,311,destroy
26715,shep,311,shep
26716,rauhallisen,311,peaceful
26717,hikoilen,311,sweat
26718,ajatuksiasi,311,your thoughts
26719,uivat,311,swim
26720,passaa,311,pass
26721,kahvini,311,my coffee
26722,philadelphian,311,Philadelphian
26723,vartioivat,311,guarded
26724,motivoi,311,motivated
26725,ohjausta,311,guidance
26726,sanoivatko,311,did you say
26727,tuloksetta,311,without success
26728,nähdäksesi,311,to see
26729,mustang,310,Mustang
26730,moreno,310,Moreno
26731,kullannuppu,310,culinary
26732,merten,310,sea
26733,simpukoita,310,clams
26734,toimistonsa,310,office
26735,mätänee,310,rotten
26736,pesty,310,washed
26737,käsiinne,310,in your hands
26738,sammakon,310,frog
26739,klubilta,310,from the club
26740,rullaa,310,roll
26741,portlandissa,310,In Portland
26742,luot,310,you create
26743,kasvin,310,plant
26744,laitteesta,310,from the device
26745,negatiivista,310,negative
26746,maura,310,mara
26747,kirjastonhoitaja,310,librarian
26748,tunnistaneet,310,identified
26749,lupaukset,310,promises
26750,syntymäpäivät,310,birthdays
26751,taivuttaa,310,bend
26752,atte902,310,ATTE902
26753,tuntemasi,310,sensitive
26754,haven,310,haven
26755,kenguru,310,kangaroo
26756,aseistettua,310,armed
26757,wilhelm,310,wilhelm
26758,suoritetaan,310,performed
26759,tex,310,tex
26760,kirvelee,310,stir
26761,varastetut,310,stolen
26762,sammyn,310,Saminn
26763,hitosti,310,hikingly
26764,got,310,got
26765,hoi,310,holy
26766,hankitko,310,are you obtain
26767,hepulin,310,hepulin
26768,yrityksesi,310,your business
26769,keskeytinkö,310,discourse
26770,putoamme,310,we will fall
26771,saakin,310,can
26772,esiintyvät,310,occur
26773,karu,310,rugged
26774,lähellesi,310,to
26775,kädestäsi,310,on your hand
26776,koodinimi,310,code name
26777,tarjoilijana,310,servant
26778,erehdytte,310,mistake
26779,lowe,310,lowe
26780,toimintansa,310,actions
26781,ballard,310,Ballard
26782,kosketan,310,touch
26783,grahamin,310,Graham
26784,cornelius,310,cornelius
26785,hiekan,310,sand
26786,opettavat,310,teach
26787,laukusta,310,bag
26788,takuu,310,warranty
26789,suon,310,on
26790,suussani,310,in my mouth
26791,hoitaisi,310,would
26792,hetkemme,310,for our moment
26793,tehdyt,310,done
26794,kipulääkettä,310,painkiller
26795,näytille,310,show
26796,sääntöni,310,my rule
26797,vogel,310,voge
26798,jalkojeni,310,my feet
26799,sanonutkin,310,say
26800,kirjoititte,310,written
26801,herättävä,310,arousing
26802,brothers,310,Brothers
26803,vanhoina,310,old
26804,kaaduit,310,yield
26805,tanssiminen,310,dancing
26806,marjoja,310,berries
26807,hyväksyneet,309,accepted
26808,tulittaa,309,strafe
26809,nuudeleita,309,noodles
26810,lstukaa,309,ln
26811,herättäisi,309,would
26812,selvittävät,309,find out
26813,norton,309,Norton
26814,tang,309,Tang
26815,ladenin,309,Laden
26816,minnie,309,minnie
26817,oksennusta,309,vomit
26818,hovin,309,hover
26819,raketteja,309,rockets
26820,kompastuin,309,stumbled
26821,paavo,309,Paavo
26822,moskovasta,309,from Moscow
26823,tokion,309,tokyo
26824,tulehtunut,309,inflamed
26825,espanjasta,309,from Spain
26826,tunkeilla,309,obtrude
26827,ukin,309,UK
26828,perryn,309,perry
26829,kummallisia,309,strange
26830,voimistuu,309,intensify
26831,neekerit,309,neekers
26832,naimme,309,Our nose
26833,haistavat,309,smell
26834,asunnossasi,309,In your apartment
26835,seuraavia,309,following
26836,tiedänkö,309,do i know
26837,saavuttavat,309,reach
26838,lukitus,309,locking
26839,kärsivällisyyteni,309,my patience
26840,täysosuma,309,direct hit
26841,paikoilla,309,in place
26842,yöunet,309,nightship
26843,kannabista,309,cannabis
26844,mielikuva,309,image
26845,ennustaja,309,fortune teller
26846,herätessäni,309,wheeze
26847,tekosyynä,309,as an excuse
26848,alettava,309,starting
26849,teoksen,309,work
26850,rahoitus,309,funding
26851,kamoissa,309,in kamas
26852,numeroiden,309,numbers
26853,pienillä,309,small
26854,maalta,309,on the ground
26855,texasiin,309,to Texas
26856,nopeat,309,quick
26857,harmaat,309,gray
26858,komediaa,309,comedy
26859,asemamme,309,Our position
26860,pahennat,309,worse
26861,kansaani,309,my people
26862,ristissä,309,across
26863,uld,309,uld
26864,elefantti,309,elephant
26865,taustatukea,309,background support
26866,säpinää,309,cloud
26867,sokeasti,309,blindly
26868,vapautat,309,release
26869,bess,309,bess
26870,tuntomerkit,309,description
26871,lepoon,309,rest
26872,juurella,309,at the foothills
26873,osalla,309,in part
26874,kypärän,309,helmet
26875,intohimoni,308,passion
26876,keskustasta,308,from the center
26877,lautakunta,308,board
26878,philadelphia,308,Philadelphia
26879,bowman,308,Bowman
26880,henning,308,henning
26881,mustelma,308,bruise
26882,lapsenvahtia,308,childbirth
26883,asuntovaunussa,308,in a caravan
26884,korvaasi,308,your ear
26885,tilaamaan,308,order
26886,brooklyniin,308,Brooklynin
26887,heller,308,heller
26888,rutosti,308,rut
26889,lähestymiskiellon,308,proxy
26890,uskallakin,308,dare
26891,tanssimisesta,308,Dancing
26892,maailmankaikkeudessa,308,In the universe
26893,hallitsivat,308,dominated
26894,rautatie,308,railway
26895,elinkautiseen,308,life-winning
26896,työvoimaa,308,labor
26897,pelastuksen,308,salvation
26898,jalkaansa,308,on one's feet
26899,sydämellä,308,with heart
26900,kykenen,308,unable
26901,valitettava,308,regrettable
26902,syömästä,308,eating
26903,kuolisivat,308,would die
26904,kaksisataa,308,two hundred
26905,ocean,308,Ocean
26906,saarrettu,308,beamembled
26907,sepäs,308,sepsy
26908,kirveen,308,ax
26909,bradin,308,Brad
26910,ka,308,per
26911,liikkeensä,308,movement
26912,käskyäni,308,my commandments
26913,kidnapattiin,308,kidnapped
26914,denverissä,308,in denver
26915,todistakaa,308,testify
26916,vierailijat,308,visitors
26917,daisyn,308,daisy
26918,motto,308,motto
26919,bonus,308,bonus
26920,rahoihin,308,to the money
26921,mestarit,308,champions
26922,lambert,308,Lambert
26923,malttia,308,malt
26924,maassani,308,In my country
26925,lahjansa,308,gift
26926,vetäisi,308,would draw
26927,kuivuu,308,drizzle
26928,sydämestäsi,308,from your heart
26929,allekirjoitettu,308,signed
26930,papi,308,papous
26931,tarkistettava,308,check
26932,tynnyri,308,barrel
26933,pommien,308,bomb
26934,häämatkalle,308,for a honeymoon
26935,yhteistyömme,308,Our cooperation
26936,tuntuvan,308,appreciably
26937,guille,308,guille
26938,vartalosi,308,bodies
26939,jalkojesi,308,legs
26940,läpeensä,308,to the backbone
26941,juanita,308,yuan
26942,sateenkaaren,308,rainbow
26943,flash,308,flash
26944,tyylin,308,style
26945,housuissasi,308,In your pants
26946,tekojasi,308,your actions
26947,saalistaja,308,Predator
26948,pelini,308,my game
26949,loisia,308,parasites
26950,aiempia,308,previous
26951,takissa,307,in a jacket
26952,pukuun,307,lodge
26953,verisen,307,bloody
26954,kiusaaja,307,the tempter
26955,palkat,307,wages
26956,ginan,307,Gina
26957,storm,307,storm
26958,stripparin,307,stripper
26959,tallin,307,tall
26960,lähetystön,307,delegation
26961,etsimästä,307,searching for
26962,ampujat,307,shooters
26963,rikhard,307,rikhard
26964,maalitaulu,307,paint
26965,tahtoani,307,my will
26966,asuminen,307,residence
26967,tehdessään,307,in making
26968,leijuu,307,hovering
26969,täkäläisiä,307,doctors
26970,mustissa,307,in black
26971,poistettava,307,delete
26972,nyrkki,307,fist
26973,kirkkoherra,307,vicar
26974,ilmapallo,307,balloon
26975,dragon,307,Dragon
26976,pikkuiseni,307,my little
26977,channing,307,Channing
26978,pojanpoikani,307,my grant
26979,rahoille,307,for money
26980,kontaktin,307,contact
26981,arvaapa,307,guess
26982,vaimona,307,wife
26983,ystävänäsi,307,your friend
26984,lilith,307,lilith
26985,kiristyksestä,307,from tension
26986,kiinteistönvälittäjä,307,real estate agent
26987,flick,307,flick
26988,hämmästyttävän,307,surprisingly
26989,kirousta,307,curse
26990,menekään,307,go
26991,äänenne,307,voice
26992,felipe,307,felipe
26993,sarjanumero,307,serial number
26994,voileipää,307,sandwich
26995,äitien,307,mothers
26996,ostokset,307,shopping
26997,tulevista,307,upcoming
26998,vaimolla,307,with a wife
26999,pysyisin,307,i would remain
27000,helikopteria,307,helicopter
27001,liikuttava,307,touching
27002,syödäänkö,307,do we eat
27003,huutokaupassa,307,auction
27004,halusitteko,307,Did you want
27005,pyörtyä,307,faint
27006,eläessään,307,on
27007,kosta,307,rack
27008,hekään,307,wheeze
27009,tarjoatte,307,offering
27010,oudosta,307,strange
27011,ajelin,307,river
27012,lapsuudesta,307,childhood
27013,menneisyytesi,307,your past
27014,tuoreen,307,fresh
27015,visio,307,vision
27016,muuhunkin,306,otherwise
27017,isäpuoli,306,stepfather
27018,berg,306,Berg
27019,pelaajien,306,players
27020,ilmapalloja,306,balloons
27021,keskittyi,306,focused on
27022,pikkuruinen,306,tiny
27023,epäonnistu,306,fail
27024,rei,306,rei
27025,siskonne,306,sister
27026,heräämään,306,wake up
27027,jännityksen,306,excitement
27028,inspiraatiota,306,inspiration
27029,estetty,306,blocked
27030,moby,306,moby
27031,kiinnitän,306,i will fasten
27032,kaveriin,306,to a guy
27033,matkanne,306,your journey
27034,kotipuolessa,306,in the home side
27035,näytettä,306,sample
27036,potkaisee,306,kick
27037,sairastua,306,fall ill
27038,näyttämöllä,306,on the stage
27039,kirkolla,306,church
27040,grissom,306,grissom
27041,fiktiota,306,fiction
27042,puheluihin,306,calls
27043,entiselle,306,former
27044,peseytyä,306,wash
27045,jälkesi,306,afterward
27046,talolta,306,from the house
27047,ystävistäsi,306,your friends
27048,tarjoaako,306,do
27049,henkilöllisyytensä,306,identity
27050,ilmaisee,306,indicate
27051,nilkka,306,ankle
27052,apteekki,306,pharmacy
27053,muistion,306,memorable
27054,romaani,306,novel
27055,merkkiäni,306,my brand
27056,seuraajia,306,followers
27057,päivämme,306,our day
27058,henkilökunnalle,306,to staff
27059,sukulaiseni,306,my relatives
27060,nälissään,306,hung up
27061,arvasi,306,guess
27062,cassius,306,Cassius
27063,haitaksi,306,to a disadvantage
27064,patja,306,mattress
27065,puolassa,306,In Poland
27066,puolustit,306,defended
27067,yllytä,306,incite
27068,russo,306,russian
27069,porukalla,306,drill
27070,tyypeille,306,For types
27071,ratkaisevat,306,decide
27072,uhkapelejä,306,gambling
27073,sidottiin,306,tied up
27074,eloisa,306,vivid
27075,tehokkaampi,306,efficient
27076,johdamme,306,we will lead
27077,huumattu,306,dried
27078,valovuoden,306,light year
27079,mulderin,306,Mulder
27080,lukioon,306,to high school
27081,sekoavat,306,stir
27082,vastustat,306,oppose
27083,ylitseni,306,overhead
27084,satuttiko,306,saddle
27085,vinkistä,306,tips
27086,tekemättömäksi,305,undisturbed
27087,wow,305,wow
27088,kärpäset,305,flies
27089,normaalista,305,normal
27090,viitteitä,305,indicate
27091,paremmalla,305,better
27092,uneksia,305,dream
27093,töitään,305,work
27094,tarvinneet,305,needed
27095,asioistani,305,on my affairs
27096,pokkaa,305,poach
27097,imemään,305,absorb
27098,autoilla,305,motor
27099,kaatamalla,305,by pouring
27100,miekat,305,swords
27101,fidel,305,fidel
27102,driscoll,305,driscoll
27103,kaapeli-tv,305,cable TV
27104,sarahille,305,to Sarah
27105,katseet,305,glance
27106,minuutteja,305,minutes
27107,phoenixin,305,Phoenix
27108,levittäkää,305,disseminate
27109,aloite,305,initiative
27110,costello,305,costello
27111,partaalle,305,on the brink of
27112,elukoita,305,lifts
27113,eristyksessä,305,in isolation
27114,osaltani,305,for me
27115,rebekah,305,rebekah
27116,moriarty,305,morirsty
27117,viivytys,305,delay
27118,pyörryin,305,swirling
27119,repliikki,305,lines
27120,ees,305,ees
27121,viihdytkö,305,Did you entertain
27122,leikitkö,305,Did you leak
27123,mcqueen,305,mcqueen
27124,glorian,305,Glorian
27125,poltimme,305,we burned
27126,firmalle,305,firm
27127,nimitti,305,appointed
27128,pimeitä,305,dark
27129,antaisivat,305,would give
27130,oikeana,305,right
27131,homon,305,gay
27132,mooren,305,mooren
27133,kerrataan,305,to be taken
27134,kartasta,305,on the map
27135,emilie,305,emilie
27136,julistettiin,305,was declared
27137,eläintarhan,305,zoo
27138,sanomalehtiä,305,newspapers
27139,lumoava,305,enchanting
27140,ylleni,305,y'all
27141,vapautuksen,305,exemption
27142,lainaamaan,305,borrow
27143,kiroan,305,curse
27144,pilli,305,whistle
27145,kampanjaa,305,campaign
27146,ruotuun,305,on the ground
27147,tyranni,305,tyrant
27148,ruthin,305,ruthin
27149,lomake,305,form
27150,lennolta,305,on the flight
27151,puhuttua,305,spoken
27152,tyynenä,305,calm
27153,evansin,305,Evans
27154,pöydät,305,tables
27155,emmeköhän,305,we do not
27156,nils,304,nils
27157,kirjallisuuden,304,literary
27158,möykky,304,blob
27159,varastaneet,304,stolen
27160,hetkeksikään,304,for a moment
27161,rintsikat,304,slicks
27162,pelaaminen,304,playing
27163,ryöstöön,304,loot
27164,ryyppää,304,rumble
27165,läskiä,304,fatty
27166,hienona,304,fine
27167,housunsa,304,trough
27168,hommassa,304,in
27169,three,304,three
27170,sound,304,sound
27171,juoksimme,304,We ran
27172,vajassa,304,in the nails
27173,aikuistua,304,admire
27174,päiviin,304,on the days
27175,pr,304,PR
27176,uuvuksissa,304,exhausted
27177,lounasaikaan,304,for lunchtime
27178,elämäntapa,304,life style
27179,lukas,304,lucid
27180,durant,304,durent
27181,portaalin,304,portal
27182,kultu,304,gold
27183,juri,304,juri
27184,oikeutesi,304,your rights
27185,kuoma,304,cup
27186,levitti,304,spread
27187,toiko,304,do
27188,pakistanissa,304,In Pakistan
27189,asemasta,304,instead of
27190,sekoitan,304,i mix
27191,hectorin,304,Hector
27192,vaikuttiko,304,influence
27193,kinttuihin,304,to
27194,pyydystää,304,catch
27195,harkittu,304,considered
27196,valmistamaan,304,prepare
27197,tulostani,304,my printout
27198,työasioissa,304,In working matters
27199,rauhoittava,304,sedative
27200,hyönteiset,304,insects
27201,henkisen,304,mental
27202,verrataan,304,compared
27203,tutkinnon,304,degree
27204,hakkeroida,304,hack
27205,vapautit,304,liberated
27206,papiksi,304,pap
27207,sanoneeni,304,meson
27208,suunniteltua,304,planned
27209,first,304,first
27210,takaosassa,304,in the back of
27211,häirintää,304,harassment
27212,muutkaan,304,to the other
27213,vahdimme,304,we're watching
27214,mabel,304,mabel
27215,oudossa,304,oddly
27216,tilallesi,304,to your status
27217,demokratiaa,304,democracy
27218,hidastuu,304,slow down
27219,sisääni,304,inward
27220,havaitsee,304,detect
27221,läheisyydessä,304,in the vicinity of
27222,lancelot,303,Lancelot
27223,metelin,303,fetch
27224,vaadittiin,303,required
27225,unionin,303,Union
27226,suojatulta,303,protected
27227,juhliini,303,celebration
27228,autoissa,303,In cars
27229,tavoittelee,303,pursue
27230,lizzy,303,lizzy
27231,tekivätkö,303,do
27232,kiistä,303,dispute
27233,helpointa,303,easy
27234,lysti,303,lousy
27235,sujuivat,303,struck
27236,italialaisia,303,Italian
27237,kaplan,303,kaplan
27238,suuttuvat,303,anger
27239,järjestettiin,303,held
27240,vakuuttanut,303,convinced
27241,rafe,303,rafe
